,Date_format,IsOfficialReport,Latitude,Longitude,震度,YouWin
270,2019-12-05 14:46:30,1.0,22.73,120.41,2.0,
271,2019-12-05 14:47:23,0.0,24.564,120.824,,1.0
272,2019-12-05 14:47:29,0.0,22.991,120.213,,0.0
273,2019-12-05 14:47:39,0.0,22.615,120.314,,0.0
276,2019-12-07 03:32:33,1.0,24.56,122.68,3.0,
277,2019-12-07 03:33:53,0.0,25.048,121.532,,1.0
278,2019-12-11 21:23:58,1.0,24.79,121.89,3.0,
279,2019-12-11 21:24:17,0.0,24.757,121.753,,1.0
280,2019-12-11 22:02:05,1.0,24.79,121.89,4.0,
281,2019-12-11 22:02:52,0.0,24.071,120.542,,1.0
282,2019-12-11 22:03:07,0.0,25.048,121.532,,0.0
283,2019-12-11 22:05:51,0.0,25.048,121.532,,1.0
284,2019-12-11 22:05:51,0.0,,,,1.0
288,2020-01-01 03:10:10,1.0,24.08,121.67,4.0,
289,2020-01-01 03:10:51,0.0,25.048,121.532,,1.0
290,2020-01-01 03:11:16,0.0,25.048,121.532,,0.0
293,2020-01-06 14:53:55,1.0,23.38,120.26,4.0,
294,2020-01-06 14:54:21,0.0,22.991,120.213,,1.0
295,2020-01-06 14:54:31,0.0,23.707,120.385,,0.0
296,2020-01-06 14:55:23,0.0,22.615,120.314,,0.0
297,2020-01-11 23:19:31,1.0,24.8,121.82,3.0,
298,2020-01-11 23:19:54,0.0,24.757,121.753,,1.0
299,2020-01-15 20:41:48,1.0,25.19,121.61,3.0,
300,2020-01-15 20:42:14,0.0,25.048,121.532,,1.0
301,2020-01-15 20:42:25,0.0,25.048,121.532,,0.0
302,2020-01-15 20:42:25,0.0,,,,0.0
303,2020-01-15 20:42:50,0.0,25.048,121.532,,0.0
312,2020-01-28 00:12:31,1.0,22.65,120.63,2.0,
313,2020-01-28 00:13:02,0.0,22.615,120.314,,1.0
314,2020-01-28 00:13:38,0.0,25.048,121.532,,0.0
315,2020-01-28 00:14:20,0.0,22.615,120.314,,0.0
316,2020-01-28 00:14:20,0.0,,,,0.0
318,2020-01-31 14:09:38,1.0,24.84,122.06,2.0,
319,2020-01-31 14:10:11,0.0,25.048,121.532,,1.0
322,2020-01-31 16:24:40,1.0,24.84,122.04,2.0,
323,2020-01-31 16:25:47,0.0,25.048,121.532,,1.0
324,2020-02-02 23:48:10,1.0,24.83,121.9,2.0,
325,2020-02-02 23:49:04,0.0,25.048,121.532,,1.0
326,2020-02-02 23:56:44,0.0,25.048,121.532,,0.0
332,2020-02-03 08:19:57,1.0,25.15,121.56,2.0,
333,2020-02-03 08:20:22,0.0,25.048,121.532,,1.0
338,2020-02-04 01:02:56,1.0,23.57,121.53,4.0,
339,2020-02-04 01:03:28,0.0,23.981,121.612,,1.0
340,2020-02-04 01:09:58,0.0,22.615,120.314,,0.0
341,2020-02-04 01:12:10,0.0,39.048,-77.473,,0.0
345,2020-02-07 03:31:33,1.0,22.96,120.15,2.0,
346,2020-02-07 03:32:46,0.0,25.048,121.532,,1.0
347,2020-02-07 03:33:25,0.0,25.048,121.532,,0.0
357,2020-02-07 19:57:39,1.0,24.3,122.09,3.0,
358,2020-02-07 19:58:20,0.0,25.048,121.532,,1.0
359,2020-02-07 19:58:42,0.0,25.048,121.532,,0.0
364,2020-02-08 00:01:25,1.0,24.22,121.62,3.0,
365,2020-02-08 00:02:09,0.0,24.071,120.542,,1.0
397,2020-02-13 15:44:06,1.0,22.67,120.68,3.0,
398,2020-02-13 15:44:57,0.0,22.615,120.314,,1.0
411,2020-02-14 01:49:19,1.0,24.29,122.12,2.0,
412,2020-02-14 01:49:52,0.0,25.048,121.532,,1.0
413,2020-02-14 01:49:52,0.0,,,,1.0
414,2020-02-14 01:50:04,0.0,24.757,121.753,,0.0
415,2020-02-14 01:50:11,0.0,25.048,121.532,,0.0
416,2020-02-14 01:50:11,0.0,25.048,121.532,,0.0
417,2020-02-14 01:50:20,0.0,25.048,121.532,,0.0
418,2020-02-14 01:50:20,0.0,25.048,121.532,,0.0
419,2020-02-14 01:50:20,0.0,25.048,121.532,,0.0
420,2020-02-14 01:50:21,0.0,24.807,120.971,,0.0
421,2020-02-14 01:50:22,0.0,25.048,121.532,,0.0
422,2020-02-14 01:50:34,0.0,25.048,121.532,,0.0
423,2020-02-14 01:50:40,0.0,25.048,121.532,,0.0
424,2020-02-14 01:50:42,0.0,24.989,121.318,,0.0
425,2020-02-14 01:50:46,0.0,25.048,121.532,,0.0
426,2020-02-14 01:51:15,0.0,25.048,121.532,,0.0
427,2020-02-14 01:51:17,0.0,25.048,121.532,,0.0
428,2020-02-14 01:51:19,0.0,24.807,120.971,,0.0
429,2020-02-14 01:51:21,0.0,25.048,121.532,,0.0
430,2020-02-14 01:51:40,0.0,24.963,121.24,,0.0
431,2020-02-14 01:54:04,0.0,24.071,120.542,,0.0
432,2020-02-14 01:54:09,0.0,25.048,121.532,,0.0
433,2020-02-14 01:54:54,0.0,24.989,121.318,,0.0
434,2020-02-14 01:55:50,0.0,25.048,121.532,,0.0
435,2020-02-14 01:56:26,0.0,24.147,120.684,,0.0
440,2020-02-15 19:00:06,1.0,23.86,121.51,4.0,
441,2020-02-15 19:00:36,0.0,25.048,121.532,,1.0
442,2020-02-15 19:00:38,0.0,25.048,121.532,,0.0
443,2020-02-15 19:00:59,0.0,24.147,120.684,,1.0
444,2020-02-15 19:01:03,0.0,25.048,121.532,,0.0
445,2020-02-15 19:01:03,0.0,23.981,121.612,,0.0
446,2020-02-15 19:01:16,0.0,25.048,121.532,,0.0
447,2020-02-15 19:01:20,0.0,24.147,120.684,,0.0
448,2020-02-15 19:01:22,0.0,22.615,120.314,,0.0
449,2020-02-15 19:01:22,0.0,24.989,121.318,,0.0
450,2020-02-15 19:01:27,0.0,25.048,121.532,,0.0
451,2020-02-15 19:01:28,0.0,25.048,121.532,,0.0
452,2020-02-15 19:01:28,0.0,,,,0.0
453,2020-02-15 19:01:30,0.0,23.707,120.385,,0.0
454,2020-02-15 19:01:30,0.0,24.989,121.318,,0.0
455,2020-02-15 19:01:31,0.0,25.048,121.532,,0.0
456,2020-02-15 19:01:32,0.0,25.048,121.532,,0.0
457,2020-02-15 19:01:32,0.0,,,,0.0
458,2020-02-15 19:01:34,0.0,25.048,121.532,,0.0
459,2020-02-15 19:01:53,0.0,24.071,120.542,,0.0
460,2020-02-15 19:01:55,0.0,24.989,121.318,,0.0
461,2020-02-15 19:02:19,0.0,24.147,120.684,,0.0
462,2020-02-15 19:02:26,0.0,25.048,121.532,,0.0
463,2020-02-15 19:02:40,0.0,25.048,121.532,,0.0
464,2020-02-15 19:02:48,0.0,24.071,120.542,,1.0
465,2020-02-15 19:02:55,0.0,24.071,120.542,,0.0
466,2020-02-15 19:03:02,0.0,25.048,121.532,,0.0
467,2020-02-15 19:03:38,0.0,22.615,120.314,,0.0
