編號,地震時間,經度,緯度,規模,深度,位置,震度
82,2013/10/26 12:18,121.87,24.79,4.5,10,宜蘭縣政府東偏北方  12.8  公里 (位於宜蘭縣近海)(宜蘭縣近海),3
小區域有感地震,2013/10/27 16:27,121.47,23.92,2.4,15.2,花蓮縣政府西偏南方  17.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/10/28 08:24,122.05,24.84,3.8,10.2,宜蘭縣政府東偏北方  31.1  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2013/10/29 12:07,121.45,23.31,3.6,26.1,臺東縣政府北偏東方  68.7  公里 (位於臺東縣近海)(臺東縣近海),3
小區域有感地震,2013/10/29 17:04,122.04,24.85,3.9,13.5,宜蘭縣政府東偏北方  31.4  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2013/10/30 01:50,122.08,24.84,3.6,6.7,宜蘭縣政府東偏北方  34.4  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2013/10/30 06:17,122.04,24.85,3.7,10.3,宜蘭縣政府東偏北方  31.0  公里 (位於臺灣東部海域)(臺灣東部海域),4
小區域有感地震,2013/10/30 10:15,121.43,24.39,3.1,7,花蓮縣政府北偏西方  48.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),3
小區域有感地震,2013/10/30 18:11,121.93,24.29,3.7,14.7,花蓮縣政府東北方  45.4  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2013/10/31 20:02,121.48,24.29,3,6.3,花蓮縣政府北偏西方  35.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
81,2013/10/31 20:11,121.49,24.28,3.9,5.3,花蓮縣政府北偏西方  35.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/10/31 20:21,121.48,23.71,2.6,6.9,花蓮縣政府南偏西方  34.1  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮),4
小區域有感地震,2013/10/31 20:41,120.97,23.93,3.3,8.4,南投縣政府東方  28.9  公里 (位於南投縣埔里鎮)(南投縣埔里鎮),2
小區域有感地震,2013/10/31 20:52,121.41,23.75,2.8,19.8,花蓮縣政府西南方  34.1  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉),2
80,2013/10/31 21:04,121.48,23.91,4.1,15.1,花蓮縣政府西偏南方  16.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
79,2013/10/31 21:17,121.64,24.34,3.8,24.2,花蓮縣政府北方  38.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),1
小區域有感地震,2013/10/31 21:29,121.49,24.28,3.2,6.4,花蓮縣政府北偏西方  35.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/10/31 21:45,120.98,23.93,2.6,8.4,南投縣政府東方  29.5  公里 (位於南投縣埔里鎮)(南投縣埔里鎮),3
小區域有感地震,2013/10/31 21:57,120.98,23.93,3.1,7.8,南投縣政府東方  29.6  公里 (位於南投縣埔里鎮)(南投縣埔里鎮),2
小區域有感地震,2013/10/31 22:11,122.21,24.78,4,8.7,宜蘭縣政府東方  45.2  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2013/10/31 22:25,120.96,23.69,3.6,13.1,南投縣政府東南方  36.0  公里 (位於南投縣信義鄉)(南投縣信義鄉),2
小區域有感地震,2013/10/31 22:27,121.49,24.28,3.7,6.4,花蓮縣政府北偏西方  35.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2013/10/31 22:28,121.48,24.29,3.3,6.4,花蓮縣政府北偏西方  35.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2013/10/31 23:08,121.58,21.92,3.3,12.4,臺東縣政府南偏東方  102.1  公里 (位於臺灣東南部海域)(臺灣東南部海域),2
小區域有感地震,2013/10/31 23:47,121.44,24.33,3.7,6.2,花蓮縣政府北偏西方  41.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/11/1 00:05,121.96,24.45,3.3,21,宜蘭縣政府東南方  37.1  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2013/11/1 00:05,121.76,24.26,3,16,花蓮縣政府北偏東方  33.2  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2013/11/1 00:28,120.71,23.54,3.1,7.4,雲林縣政府東南方  25.9  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉),1
小區域有感地震,2013/11/1 01:09,121.48,23.79,2.9,11.3,花蓮縣政府西南方  26.8  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮),1
小區域有感地震,2013/11/1 01:17,120.54,23.17,3.5,15.6,嘉義市政府南偏東方  35.3  公里 (位於臺南市楠西區)(臺南市楠西區),2
小區域有感地震,2013/11/1 03:27,120.97,23.85,3.7,13.7,南投縣政府東方  28.8  公里 (位於南投縣魚池鄉)(南投縣魚池鄉),3
小區域有感地震,2013/11/1 04:30,120.84,22.66,2.9,8.4,臺東縣政府西偏南方  33.4  公里 (位於臺東縣金峰鄉)(臺東縣金峰鄉),2
小區域有感地震,2013/11/1 04:44,121.97,24.43,2.7,13,宜蘭縣政府東南方  38.8  公里 (位於臺灣東部海域)(臺灣東部海域),3
78,2013/11/1 07:52,121.63,24.3,3.5,23,花蓮縣政府北方  34.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
77,2013/11/1 07:58,122.65,23.98,6.2,35.3,花蓮縣政府東方  104.5  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2013/11/1 10:20,121.64,24.32,2.9,24.1,花蓮縣政府北方  37.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),4
小區域有感地震,2013/11/1 16:08,120.95,23.71,3.3,24,南投縣政府東南方  34.3  公里 (位於南投縣信義鄉)(南投縣信義鄉),3
小區域有感地震,2013/11/1 19:52,121.74,24.64,2.7,6.9,宜蘭縣政府南偏西方  10.5  公里 (位於宜蘭縣冬山鄉)(宜蘭縣冬山鄉),3
76,2013/11/1 21:30,120.98,23.87,4.4,14,南投縣政府東方  29.4  公里 (位於南投縣魚池鄉)(南投縣魚池鄉),2
小區域有感地震,2013/11/1 22:29,120.96,23.77,3.1,13.7,南投縣政府東偏南方  30.8  公里 (位於南投縣信義鄉)(南投縣信義鄉),4
小區域有感地震,2013/11/1 22:48,120.97,23.81,3.9,13.2,南投縣政府東偏南方  29.8  公里 (位於南投縣信義鄉)(南投縣信義鄉),3
小區域有感地震,2013/11/1 23:49,120.93,23.8,3.5,11.9,南投縣政府東偏南方  26.9  公里 (位於南投縣信義鄉)(南投縣信義鄉),3
小區域有感地震,2013/11/2 00:31,121.61,23.57,3.4,33.1,花蓮縣政府南方  46.4  公里 (位於臺灣東部海域)(臺灣東部海域),5
小區域有感地震,2013/11/2 06:16,121.52,23.89,2.4,8.9,花蓮縣政府西南方  15.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),3
小區域有感地震,2013/11/2 14:53,121.84,24.39,2.5,10.7,宜蘭縣政府南偏東方  39.2  公里 (位於宜蘭縣近海)(宜蘭縣近海),3
小區域有感地震,2013/11/2 22:23,121.29,23.15,2.9,7.4,臺東縣政府北偏東方  45.8  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉),3
96,2013/11/2 22:29,121.2,23.15,3.9,10.6,臺東縣政府北方  43.8  公里 (位於臺東縣海端鄉)(臺東縣海端鄉),4
小區域有感地震,2013/11/2 22:57,121.52,23.88,2.6,7.9,花蓮縣政府西南方  15.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),2
小區域有感地震,2013/11/2 22:59,121.52,23.9,2.5,9,花蓮縣政府西南方  14.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),3
95,2013/11/3 01:28,121.52,23.9,4.3,10.9,花蓮縣政府西南方  14.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),4
94,2013/11/3 11:43,121.53,23.91,5,10.6,花蓮縣政府西南方  13.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),3
小區域有感地震,2013/11/3 14:12,121.51,23.91,2.3,9.3,花蓮縣政府西南方  14.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),2
93,2013/11/4 01:50,121.53,23.91,4.8,9.1,花蓮縣政府西南方  13.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),3
小區域有感地震,2013/11/4 06:56,121.37,22.99,3.4,34.7,臺東縣政府東北方  34.3  公里 (位於臺東縣近海)(臺東縣近海),2
92,2013/11/4 07:13,120.88,24.24,3.2,31.9,臺中市政府東偏北方  23.4  公里 (位於臺中市和平區)(臺中市和平區),2
小區域有感地震,2013/11/4 09:01,120.91,24.05,3.4,24.2,臺中市政府東偏南方  25.9  公里 (位於南投縣國姓鄉)(南投縣國姓鄉),3
小區域有感地震,2013/11/4 10:48,121.63,24.34,2.9,23.5,花蓮縣政府北方  38.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2013/11/4 12:32,121.48,23.91,3.3,14.9,花蓮縣政府西偏南方  16.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),7
小區域有感地震,2013/11/4 18:32,121.62,24.03,2.7,9,花蓮縣政府北方  4.4  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉),2
91,2013/11/4 23:31,121.49,24.28,4.3,5.1,花蓮縣政府北偏西方  35.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/11/4 23:42,120.91,22.97,3.5,4.3,臺東縣政府西北方  34.1  公里 (位於臺東縣海端鄉)(臺東縣海端鄉),2
小區域有感地震,2013/11/5 17:49,121.48,24.28,3.1,6.9,花蓮縣政府北偏西方  35.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/11/5 18:55,121.49,24.29,3.6,5.7,花蓮縣政府北偏西方  35.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/11/5 21:44,121.48,24.28,3.2,7.5,花蓮縣政府北偏西方  35.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
90,2013/11/6 00:28,121.5,24.28,5.5,4.9,花蓮縣政府北偏西方  34.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2013/11/6 00:46,121.79,24.4,2.6,12.6,宜蘭縣政府南方  36.9  公里 (位於宜蘭縣近海)(宜蘭縣近海),2
小區域有感地震,2013/11/6 06:09,121.05,23.96,4,19.1,南投縣政府東方  37.2  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉),2
89,2013/11/6 14:17,122.84,23.76,5.7,40,花蓮縣政府東方  126.8  公里 (位於臺灣東部海域)(臺灣東部海域),4
