編號,地震時間,經度,緯度,規模,深度,位置,震度
小區域有感地震,2015/9/16 13:50,121.52,23.46,3.8,36.6,花蓮縣政府南方  59.4  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2015/9/16 14:30,121.56,24.12,2.9,4.4,花蓮縣政府北偏西方  15.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2015/9/16 17:39,121.45,23.77,2.9,10.8,花蓮縣政府西南方  30.1  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮),4
小區域有感地震,2015/9/16 20:43,121.72,23.51,4.2,27.9,花蓮縣政府南偏東方  54.0  公里 (位於臺灣東部海域)(臺灣東部海域),2
33,2015/9/16 20:45,121.72,23.5,4.7,31.5,花蓮縣政府南方  55.6  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2015/9/16 21:08,121.59,23.16,3.5,25,臺東縣政府東北方  63.7  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/9/16 21:12,121.81,24.37,3.2,16.4,宜蘭縣政府南方  40.7  公里 (位於宜蘭縣近海)(宜蘭縣近海),2
小區域有感地震,2015/9/16 21:26,121.38,23.72,3.3,20.1,花蓮縣政府西南方  38.0  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉),2
32,2015/9/16 21:26,121.69,24.65,4.3,49,宜蘭縣政府西南方  11.7  公里 (位於宜蘭縣三星鄉)(宜蘭縣三星鄉),2
31,2015/9/16 21:30,121.7,23.97,4,28.1,花蓮縣政府東偏南方  8.3  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2015/9/16 21:32,120.38,23.41,2.6,8.1,嘉義市政府西南方  10.3  公里 (位於臺南市後壁區)(臺南市後壁區),2
小區域有感地震,2015/9/16 21:45,121.06,24.24,4,5.5,臺中市政府東偏北方  40.7  公里 (位於臺中市和平區)(臺中市和平區),3
小區域有感地震,2015/9/16 22:10,121.8,24.37,3.3,15.7,宜蘭縣政府南方  40.2  公里 (位於宜蘭縣近海)(宜蘭縣近海),3
小區域有感地震,2015/9/16 22:29,120.88,24.41,3,29.6,苗栗縣政府南偏東方  18.5  公里 (位於苗栗縣大湖鄉)(苗栗縣大湖鄉),2
小區域有感地震,2015/9/16 22:34,120.93,24.39,3,5.9,苗栗縣政府南偏東方  22.6  公里 (位於苗栗縣泰安鄉)(苗栗縣泰安鄉),2
小區域有感地震,2015/9/17 01:04,120.1,23.95,3.1,18.7,彰化縣政府西偏南方  47.2  公里 (位於臺灣西部海域)(臺灣西部海域),2
小區域有感地震,2015/9/17 01:16,120.99,23.96,3.1,5.4,南投縣政府東方  31.5  公里 (位於南投縣埔里鎮)(南投縣埔里鎮),4
小區域有感地震,2015/9/17 02:14,121.42,24.44,3.2,7.7,宜蘭縣政府西南方  47.2  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/17 02:41,121.61,24.87,3.5,88.9,臺北市政府南偏東方  19.1  公里 (位於新北市石碇區)(新北市石碇區),1
小區域有感地震,2015/9/17 02:47,121.54,23.57,3.6,28,花蓮縣政府南方  47.0  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2015/9/17 04:12,121.75,24.31,3.3,14,花蓮縣政府北偏東方  37.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2015/9/17 04:44,121.42,24.44,3.1,6.7,宜蘭縣政府西南方  46.9  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/17 05:15,121.43,24.44,3,7.1,宜蘭縣政府西南方  46.8  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/17 05:52,121.43,24.44,3.2,6.6,宜蘭縣政府西南方  46.5  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/18 03:42,121.43,24.44,2.4,6.2,宜蘭縣政府西南方  46.4  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),4
41,2015/9/18 18:01,121.44,24.43,3.9,5.7,宜蘭縣政府西南方  46.9  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),4
小區域有感地震,2015/9/18 21:28,121.42,24.44,2.8,7.6,宜蘭縣政府西南方  47.4  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/19 20:25,121.44,24.42,2.7,7.2,宜蘭縣政府西南方  47.8  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/20 06:52,121.77,24.36,2.8,14.7,宜蘭縣政府南方  41.2  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),2
小區域有感地震,2015/9/22 11:16,121.43,24.44,3.7,6.3,宜蘭縣政府西南方  46.9  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),1
40,2015/9/22 14:38,121.43,24.43,4.7,6,宜蘭縣政府西南方  47.2  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/23 06:14,121.42,24.43,3.5,6.4,宜蘭縣政府西南方  47.7  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
39,2015/9/23 19:32,121.44,24.43,4.3,6.5,宜蘭縣政府西南方  47.1  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/24 13:58,121.43,24.43,3.7,5.9,宜蘭縣政府西南方  47.1  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),3
小區域有感地震,2015/9/24 16:11,121.43,24.44,3.2,6.2,宜蘭縣政府西南方  46.8  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/25 03:51,121.43,24.43,3.5,6.4,宜蘭縣政府西南方  47.4  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/9/25 18:54,121.91,24.42,2.8,16.3,宜蘭縣政府南偏東方  37.1  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/9/26 05:23,121.51,23.89,2.5,10,花蓮縣政府西南方  15.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),2
38,2015/9/26 18:21,121.39,23.15,4.5,22.2,臺東縣政府北偏東方  50.2  公里 (位於臺東縣成功鎮)(臺東縣成功鎮),2
小區域有感地震,2015/9/28 08:53,121.48,23.78,3.1,10.7,花蓮縣政府西南方  27.4  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮),4
37,2015/9/30 03:37,121.5,23.86,4.2,10.5,花蓮縣政府西南方  18.7  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),2
小區域有感地震,2015/9/30 05:55,121.63,24.05,2.7,8.6,花蓮縣政府北方  6.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2015/9/30 23:55,121.9,24.44,3.7,23.3,宜蘭縣政府南偏東方  35.6  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/10/19 13:42,120.45,23.21,3.3,8.3,嘉義市政府南方  30.0  公里 (位於臺南市六甲區)(臺南市六甲區),2
小區域有感地震,2015/10/19 14:13,120.46,23.21,3.4,9.1,嘉義市政府南方  29.7  公里 (位於臺南市楠西區)(臺南市楠西區),2
36,2015/10/19 14:46,120.46,23.22,4.4,8.6,嘉義市政府南方  29.0  公里 (位於臺南市六甲區)(臺南市六甲區),2
小區域有感地震,2015/10/19 15:20,121.93,24.41,3.7,26.1,宜蘭縣政府南偏東方  39.7  公里 (位於臺灣東部海域)(臺灣東部海域),4
小區域有感地震,2015/10/19 15:26,120.92,22.81,3.7,5.8,臺東縣政府西偏北方  24.5  公里 (位於臺東縣延平鄉)(臺東縣延平鄉),3
小區域有感地震,2015/10/19 15:31,121.46,23.68,3.6,7.5,花蓮縣政府南偏西方  38.3  公里 (位於花蓮縣光復鄉)(花蓮縣光復鄉),3
小區域有感地震,2015/10/19 16:23,120.85,24.35,3.3,7.9,苗栗縣政府南方  24.6  公里 (位於苗栗縣卓蘭鎮)(苗栗縣卓蘭鎮),1
小區域有感地震,2015/10/20 17:19,121.2,24.67,3.1,10,新竹縣政府東南方  25.9  公里 (位於新竹縣尖石鄉)(新竹縣尖石鄉),4
小區域有感地震,2015/10/20 19:33,121.42,23.35,4.2,33.3,臺東縣政府北偏東方  72.0  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉),2
小區域有感地震,2015/10/21 07:08,120.92,22.81,3.5,5.9,臺東縣政府西偏北方  24.7  公里 (位於臺東縣延平鄉)(臺東縣延平鄉),4
小區域有感地震,2015/10/21 08:02,121.67,24.17,3.6,15.8,花蓮縣政府北偏東方  20.5  公里 (位於花蓮縣近海)(花蓮縣近海),4
小區域有感地震,2015/10/21 09:14,121.68,24.17,3.3,16.2,花蓮縣政府北偏東方  20.7  公里 (位於花蓮縣近海)(花蓮縣近海),4
小區域有感地震,2015/10/21 23:53,121.48,23.95,3.1,18.5,花蓮縣政府西偏南方  15.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
35,2015/10/22 19:12,121.48,23.95,3.9,19.2,花蓮縣政府西偏南方  15.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2015/10/25 04:00,121.41,23.21,3.3,23.4,臺東縣政府北偏東方  56.8  公里 (位於臺東縣近海)(臺東縣近海),3
小區域有感地震,2015/10/26 19:24,121.57,23.79,4,25.6,花蓮縣政府南偏西方  23.2  公里 (位於花蓮縣近海)(花蓮縣近海),4
34,2015/10/28 15:07,121.04,23.84,4.2,27.3,南投縣政府東方  36.8  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉),5
小區域有感地震,2015/10/28 19:47,120.73,23.9,3.5,26.9,南投縣政府東方  4.5  公里 (位於南投縣中寮鄉)(南投縣中寮鄉),2
小區域有感地震,2015/10/31 22:53,121.61,24.32,3.2,24.5,花蓮縣政府北方  36.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),4
小區域有感地震,2015/10/31 23:08,120.46,23.08,3.2,10.6,臺南市政府東偏北方  29.9  公里 (位於臺南市玉井區)(臺南市玉井區),4
小區域有感地震,2015/11/2 05:09,121.84,24,3.6,49.3,花蓮縣政府東方  22.1  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/11/3 04:25,121.37,22.78,4.2,36.1,臺東縣政府東方  22.8  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/11/3 08:06,121.39,23.72,3.8,25.9,花蓮縣政府西南方  37.9  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉),1
小區域有感地震,2015/11/3 08:44,121.59,23.88,3.6,34.2,花蓮縣政府南偏西方  12.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),1
小區域有感地震,2015/11/3 08:46,120.44,23.22,3.5,16.8,嘉義市政府南方  28.9  公里 (位於臺南市六甲區)(臺南市六甲區),4
小區域有感地震,2015/11/5 17:06,120.57,23.62,3.2,10.6,雲林縣政府南偏東方  10.1  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉),1
小區域有感地震,2015/11/5 19:28,121.45,24.41,3,6.7,宜蘭縣政府西南方  47.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),1
小區域有感地震,2015/11/8 07:04,120.9,23.79,3.4,11.8,南投縣政府東偏南方  24.4  公里 (位於南投縣信義鄉)(南投縣信義鄉),2
小區域有感地震,2015/11/9 08:15,120.99,22.52,3.5,17.2,臺東縣政府西南方  30.9  公里 (位於臺東縣近海)(臺東縣近海),2
小區域有感地震,2015/11/10 08:10,122.08,23.56,4.2,40,花蓮縣政府東南方  66.8  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/11/10 22:53,121.02,24.76,1.7,3.4,新竹市政府東南方  6.8  公里 (位於新竹市東區)(新竹市東區),2
小區域有感地震,2015/11/11 23:33,121.01,24.76,1.5,3.9,新竹市政府東南方  6.8  公里 (位於新竹市東區)(新竹市東區),2
43,2015/11/12 05:31,122.39,24.02,5.7,25.5,花蓮縣政府東方  78.5  公里 (位於臺灣東部海域)(臺灣東部海域),1
小區域有感地震,2015/11/12 19:14,121.43,24.45,3.5,10.2,宜蘭縣政府西南方  46.0  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),3
小區域有感地震,2015/11/13 09:39,121.42,24.44,2.2,5.3,宜蘭縣政府西南方  47.4  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/11/14 13:32,122.21,21.05,5.3,204,臺東縣政府南偏東方  218.2  公里 (位於臺灣東南部海域)(臺灣東南部海域),3
小區域有感地震,2015/11/15 10:07,121.81,24.17,3.9,5.5,花蓮縣政府東北方  27.9  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2015/11/16 03:59,121.86,24.16,4.1,8.8,花蓮縣政府東北方  30.9  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2015/11/16 05:05,121.82,24.17,4.2,6.3,花蓮縣政府東北方  28.1  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2015/11/19 08:13,122.47,24.56,4.5,88.6,宜蘭縣政府東偏南方  74.0  公里 (位於臺灣東部海域)(臺灣東部海域),1
小區域有感地震,2015/11/19 08:52,120.69,23.55,2.9,8.8,雲林縣政府東南方  23.0  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉),3
小區域有感地震,2015/11/20 18:21,121.89,24.31,4.1,24.2,花蓮縣政府東北方  44.6  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/11/21 09:21,121.42,24.42,3.8,4.7,宜蘭縣政府西南方  49.0  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/11/21 12:09,121.3,22.58,4.2,32.2,臺東縣政府東南方  24.8  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2015/11/21 17:57,121.41,24.44,3.9,8.3,宜蘭縣政府西南方  48.4  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),1
小區域有感地震,2015/11/22 13:16,121.97,24.04,4,43.1,花蓮縣政府東方  35.6  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/11/22 15:15,121.71,24.1,3.9,7.5,花蓮縣政府東北方  14.9  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2015/11/22 22:18,121.42,24.45,3.6,7.1,宜蘭縣政府西南方  46.5  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),2
小區域有感地震,2015/11/24 15:55,121.42,24.44,4,7,宜蘭縣政府西南方  47.7  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),3
小區域有感地震,2015/11/28 08:52,122.36,24.93,4.7,126.1,宜蘭縣政府東偏北方  64.3  公里 (位於臺灣東部海域)(臺灣東部海域),4
小區域有感地震,2015/11/28 11:57,121.77,24.23,3.3,28.8,花蓮縣政府北偏東方  30.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
42,2015/11/29 01:02,121.82,24.73,4.2,78.4,宜蘭縣政府東方  5.8  公里 (位於宜蘭縣壯圍鄉)(宜蘭縣壯圍鄉),5
小區域有感地震,2015/12/2 13:21,120.32,23.24,3.3,13.9,嘉義縣政府南方  24.8  公里 (位於臺南市六甲區)(臺南市六甲區),2
小區域有感地震,2015/12/2 13:53,121.53,24.09,3.1,18.6,花蓮縣政府西北方  14.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
63,2015/12/2 14:32,121.51,24.02,4.8,18.7,花蓮縣政府西偏北方  12.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2015/12/2 19:59,121.63,24.34,3.4,23.8,花蓮縣政府北方  38.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2015/12/3 09:37,120.93,24.37,3.2,6,苗栗縣政府南偏東方  23.8  公里 (位於苗栗縣泰安鄉)(苗栗縣泰安鄉),1
小區域有感地震,2015/12/3 20:06,121.47,23.9,2.9,16.3,花蓮縣政府西偏南方  17.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),4
小區域有感地震,2015/12/3 22:31,121.3,22.72,4.2,34.5,臺東縣政府東偏南方  16.1  公里 (位於臺灣東部海域)(臺灣東部海域),1
小區域有感地震,2015/12/4 07:16,121.73,24.37,3.1,16.4,宜蘭縣政府南方  40.7  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),1
小區域有感地震,2015/12/5 15:53,121.78,24.35,3.1,18.6,宜蘭縣政府南方  41.9  公里 (位於宜蘭縣近海)(宜蘭縣近海),2
62,2015/12/5 21:20,120.69,22.6,4.7,31.3,屏東縣政府東偏南方  23.1  公里 (位於屏東縣泰武鄉)(屏東縣泰武鄉),3
小區域有感地震,2015/12/6 12:42,121.85,24.25,3.6,19.3,花蓮縣政府東北方  36.5  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/12/6 13:06,121.75,24.3,3.5,17.8,花蓮縣政府北偏東方  36.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2015/12/8 02:20,120.73,23.14,2.6,5,嘉義市政府東南方  46.8  公里 (位於高雄市桃源區)(高雄市桃源區),2
小區域有感地震,2015/12/8 17:03,122.04,24.12,4.2,40.5,花蓮縣政府東偏北方  45.3  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/12/9 13:02,121.85,24.27,3.2,20.1,花蓮縣政府東北方  39.0  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/12/9 15:37,121.84,24.27,3.4,18.3,花蓮縣政府東北方  37.5  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/12/11 13:11,121.82,24.09,4.1,6,花蓮縣政府東偏北方  23.1  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/12/11 17:44,121.83,24.25,3.7,19,花蓮縣政府東北方  35.5  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2015/12/12 06:27,121.82,24.3,2.8,12.3,花蓮縣政府北偏東方  39.5  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2015/12/12 23:39,121.82,24.28,3,21.3,花蓮縣政府東北方  37.8  公里 (位於花蓮縣近海)(花蓮縣近海),4
小區域有感地震,2015/12/12 23:47,121.8,24.28,3.2,18.6,花蓮縣政府北偏東方  37.0  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2015/12/13 02:28,121.82,24.29,4,13.5,花蓮縣政府東北方  38.8  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2015/12/14 15:19,121.84,24.24,3.6,17.2,花蓮縣政府東北方  35.5  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2015/12/17 11:03,121.84,24.28,3,15.2,花蓮縣政府東北方  39.1  公里 (位於臺灣東部海域)(臺灣東部海域),4
小區域有感地震,2015/12/18 02:38,121.83,24.24,3.4,18.7,花蓮縣政府東北方  34.7  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2015/12/20 18:13,121.82,24.3,3.2,22.1,花蓮縣政府東北方  39.8  公里 (位於花蓮縣近海)(花蓮縣近海),3
61,2015/12/21 01:05,120.1,23,4.2,17.7,臺南市政府西方  9.1  公里 (位於臺南市近海)(臺南市近海),4
小區域有感地震,2015/12/21 05:46,121.82,24.29,3.2,20.4,花蓮縣政府東北方  38.8  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2015/12/21 06:36,121.78,24.28,3.3,19.5,花蓮縣政府北偏東方  36.0  公里 (位於花蓮縣近海)(花蓮縣近海),2
60,2015/12/21 12:51,121.8,24.28,4.6,19.2,花蓮縣政府北偏東方  36.7  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2015/12/22 12:30,121.83,24.28,3.4,20.9,花蓮縣政府東北方  38.8  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2015/12/22 14:08,121.8,24.26,3.2,20.4,花蓮縣政府北偏東方  34.5  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2015/12/22 22:41,121.85,24.26,3.4,19.5,花蓮縣政府東北方  37.4  公里 (位於臺灣東部海域)(臺灣東部海域),3
59,2015/12/24 02:40,121.83,24.28,4.5,22,花蓮縣政府東北方  38.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
58,2015/12/24 17:11,121.83,24.29,4.3,21.9,花蓮縣政府東北方  38.9  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2015/12/25 03:18,121.82,24.27,3.6,21.1,花蓮縣政府東北方  37.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2015/12/25 05:20,121.82,24.28,3.6,21.3,花蓮縣政府東北方  37.5  公里 (位於花蓮縣近海)(花蓮縣近海),2
57,2015/12/26 05:10,121.83,24.28,5.6,20.2,花蓮縣政府東北方  38.8  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2015/12/26 05:21,121.81,24.25,3.2,16,花蓮縣政府東北方  34.4  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2015/12/26 10:35,121.81,24.25,3.3,16.1,花蓮縣政府東北方  34.4  公里 (位於花蓮縣近海)(花蓮縣近海),4
小區域有感地震,2015/12/26 12:05,121.83,24.27,3.6,21.1,花蓮縣政府東北方  36.9  公里 (位於花蓮縣近海)(花蓮縣近海),1
56,2015/12/27 00:09,121.82,24.25,3.8,18.5,花蓮縣政府東北方  34.9  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2015/12/27 15:00,121.82,24.28,3.5,17.3,花蓮縣政府東北方  37.7  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2015/12/27 18:39,121.85,24.27,3.2,20.3,花蓮縣政府東北方  39.0  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2015/12/28 08:01,121.83,24.28,3.2,18.1,花蓮縣政府東北方  38.0  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2015/12/31 08:53,121.82,24.28,2.6,15.1,花蓮縣政府東北方  38.2  公里 (位於花蓮縣近海)(花蓮縣近海),4
小區域有感地震,2016/1/1 06:33,121.7,23.77,3.3,25.8,花蓮縣政府南偏東方  25.9  公里 (位於臺灣東部海域)(臺灣東部海域),1
小區域有感地震,2016/1/1 14:23,122.35,24.62,4,11.4,宜蘭縣政府東方  60.8  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2016/1/2 09:25,121.47,23.93,3,15.1,花蓮縣政府西偏南方  16.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),3
小區域有感地震,2016/1/3 22:01,122.31,24.96,4.4,14,基隆市政府東偏南方  59.9  公里(基隆市政府東偏南方  59.9  公里),2
小區域有感地震,2016/1/4 00:00,121.33,22.77,4.2,29.7,臺東縣政府東方  18.7  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2016/1/5 00:12,121.57,23.9,3.7,9.7,花蓮縣政府南偏西方  11.8  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉),3
小區域有感地震,2016/1/5 01:20,121.32,22.78,3.2,27.9,臺東縣政府東方  17.7  公里 (位於臺灣東部海域)(臺灣東部海域),2
4,2016/1/5 10:35,121.31,22.79,5.8,29.7,臺東縣政府東方  17.0  公里(臺東縣政府東方  17.0  公里),5
小區域有感地震,2016/1/6 16:05,120.49,23.23,3.4,12.7,嘉義市政府南方  28.3  公里 (位於臺南市東山區)(臺南市東山區),2
小區域有感地震,2016/1/6 17:12,120.45,23.46,3.2,11.4,嘉義市政府南偏西方  2.5  公里 (位於嘉義市東區)(嘉義市東區),3
小區域有感地震,2016/1/8 12:23,121.76,24.49,3.9,42.9,宜蘭縣政府南方  26.9  公里(宜蘭縣政府南方  26.9  公里),2
小區域有感地震,2016/1/8 21:17,121.64,24.07,2.7,8.9,花蓮縣政府北偏東方  9.2  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2016/1/10 18:46,120.49,23.42,2.8,10.3,嘉義市政府南偏東方  8.0  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉),2
小區域有感地震,2016/1/11 12:52,121.83,24.11,4.4,10.5,花蓮縣政府東偏北方  24.6  公里 (位於臺灣東部海域)(臺灣東部海域),3
小區域有感地震,2016/1/13 17:06,121.84,24.11,4.4,6.5,花蓮縣政府東偏北方  25.5  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2016/1/13 20:53,121.24,24.75,3.1,9.4,新竹縣政府東偏南方  24.0  公里(新竹縣政府東偏南方  24.0  公里),1
小區域有感地震,2016/1/14 01:11,120.49,23.41,3.6,9.7,嘉義市政府南偏東方  8.2  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉),2
3,2016/1/14 01:22,121.53,23.43,5.3,33.2,花蓮縣政府南方  62.4  公里(花蓮縣政府南方  62.4  公里),4
小區域有感地震,2016/1/14 23:27,121.99,24.18,4.4,30.7,花蓮縣政府東偏北方  43.5  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2016/1/15 07:13,121.63,23.79,3.5,33.9,花蓮縣政府南方  22.5  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2016/1/16 00:27,121.63,23.98,3.8,24.2,花蓮縣政府東偏南方  1.6  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2016/1/16 10:46,121.76,24.33,3.3,6,花蓮縣政府北偏東方  39.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉),4
小區域有感地震,2016/1/18 23:45,121.95,24.57,3.6,49,宜蘭縣政府東南方  25.5  公里 (位於宜蘭縣近海)(宜蘭縣近海),2
小區域有感地震,2016/1/19 10:13,121.9,24.45,3.6,23.1,宜蘭縣政府南偏東方  34.0  公里 (位於宜蘭縣近海)(宜蘭縣近海),3
小區域有感地震,2016/1/19 13:35,121.39,21.57,4.9,91,臺東縣政府南偏東方  133.8  公里(臺東縣政府南偏東方  133.8  公里),2
小區域有感地震,2016/1/19 20:04,121.9,24.37,2.9,16.7,宜蘭縣政府南偏東方  42.0  公里 (位於臺灣東部海域)(臺灣東部海域),2
小區域有感地震,2016/1/20 23:35,121.93,24.38,4,29.6,宜蘭縣政府南偏東方  42.3  公里 (位於臺灣東部海域)(臺灣東部海域),3
2,2016/1/22 04:37,122.08,24.6,4.9,66.4,宜蘭縣政府東偏南方  35.4  公里(宜蘭縣政府東偏南方  35.4  公里),2
1,2016/1/23 04:16,121.42,23.74,3.9,20.5,花蓮縣政府西南方  33.9  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉),3
小區域有感地震,2016/1/23 12:02,121.48,24.01,2.8,16.8,花蓮縣政府西方  14.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2016/1/25 15:01,121.08,24.76,2.3,7.5,新竹縣政府東南方  10.0  公里 (位於新竹縣芎林鄉)(新竹縣芎林鄉),3
99,2016/2/1 07:46,121.65,24.19,4.3,32,花蓮縣政府北方  22.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉),2
小區域有感地震,2016/2/2 22:19,121.55,24.71,3.6,31.6,宜蘭縣政府西方  22.1  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉),3
